scatter energy,scatter locations,absorption energies,absorption locations,scatter channels,absorption channels
0.18403361344537816,"[10.6, 2.7, 39.2]",0.4772532188841202,"[0.0, -13.4, 80.6]",3,7
0.37219101123595505,"[-13.4, 0.0, 80.6]",0.2801449275362319,"[13.4, 0.0, 80.6]",4,6
0.10608163265306121,"[-3.2, 3.5, 39.6]",0.5627536231884058,"[13.4, 0.0, 80.6]",0,6
0.36280400572246063,"[0.0, -13.4, 80.6]",0.29213483146067415,"[-13.4, 0.0, 80.6]",7,4
0.4381159420289855,"[13.4, 0.0, 80.6]",0.22832618025751072,"[0.0, -13.4, 80.6]",6,7
0.1920168067226891,"[10.6, 2.7, 39.2]",0.46008583690987126,"[0.0, -13.4, 80.6]",3,7
0.39141630901287555,"[0.0, -13.4, 80.6]",0.2728985507246377,"[13.4, 0.0, 80.6]",7,6
0.3482608695652174,"[13.4, 0.0, 80.6]",0.30701001430615166,"[0.0, -13.4, 80.6]",6,7
0.35252808988764045,"[-13.4, 0.0, 80.6]",0.3098712446351931,"[0.0, -13.4, 80.6]",4,7
0.43914285714285717,"[-3.2, 3.5, 39.6]",0.22815126050420168,"[10.6, 2.7, 39.2]",0,3
0.38378016085790884,"[0.0, 13.4, 80.6]",0.2710674157303371,"[-13.4, 0.0, 80.6]",5,4
0.06322448979591837,"[-3.2, 3.5, 39.6]",0.5902898550724638,"[13.4, 0.0, 80.6]",0,6
0.1389430894308943,"[3.4, -5.0, 40.8]",0.5224719101123596,"[-13.4, 0.0, 80.6]",2,4
0.3585121602288984,"[0.0, -13.4, 80.6]",0.2966487935656837,"[0.0, 13.4, 80.6]",7,5
0.375,"[-13.4, 0.0, 80.6]",0.27839771101573674,"[0.0, -13.4, 80.6]",4,7
0.3334285714285714,"[-3.2, 3.5, 39.6]",0.3250819672131148,"[-2.3, -2.2, 41.3]",0,1
0.4243204577968527,"[0.0, -13.4, 80.6]",0.23096514745308314,"[0.0, 13.4, 80.6]",7,5
0.13365853658536586,"[3.4, -5.0, 40.8]",0.523032904148784,"[0.0, -13.4, 80.6]",2,7
0.3308695652173913,"[13.4, 0.0, 80.6]",0.3213161659513591,"[0.0, -13.4, 80.6]",6,7
0.3294202898550725,"[13.4, 0.0, 80.6]",0.32882037533512065,"[0.0, 13.4, 80.6]",6,5
0.11057142857142856,"[-3.2, 3.5, 39.6]",0.542463768115942,"[13.4, 0.0, 80.6]",0,6
0.3785407725321889,"[0.0, -13.4, 80.6]",0.27869565217391307,"[13.4, 0.0, 80.6]",7,6
0.04689795918367347,"[-3.2, 3.5, 39.6]",0.6221910112359551,"[-13.4, 0.0, 80.6]",0,4
0.3902459016393443,"[-2.3, -2.2, 41.3]",0.2656734693877551,"[-3.2, 3.5, 39.6]",1,0
0.05179591836734694,"[-3.2, 3.5, 39.6]",0.6193820224719101,"[-13.4, 0.0, 80.6]",0,4
0.38426323319027184,"[0.0, -13.4, 80.6]",0.2772463768115942,"[13.4, 0.0, 80.6]",7,6
0.37975871313672926,"[0.0, 13.4, 80.6]",0.2798283261802575,"[0.0, -13.4, 80.6]",5,7
0.22349593495934958,"[3.4, -5.0, 40.8]",0.44241573033707865,"[-13.4, 0.0, 80.6]",2,4
0.39065573770491807,"[-2.3, -2.2, 41.3]",0.278734693877551,"[-3.2, 3.5, 39.6]",1,0
0.4172922252010724,"[0.0, 13.4, 80.6]",0.25140449438202245,"[-13.4, 0.0, 80.6]",5,4
0.3814020028612304,"[0.0, -13.4, 80.6]",0.2778820375335121,"[0.0, 13.4, 80.6]",7,5
0.11386554621848739,"[10.6, 2.7, 39.2]",0.5446380697050939,"[0.0, 13.4, 80.6]",3,5
0.18772357723577235,"[3.4, -5.0, 40.8]",0.47752808988764045,"[-13.4, 0.0, 80.6]",2,4
0.3486991869918699,"[3.4, -5.0, 40.8]",0.31688524590163936,"[-2.3, -2.2, 41.3]",2,1
0.38322448979591833,"[-3.2, 3.5, 39.6]",0.27959016393442626,"[-2.3, -2.2, 41.3]",0,1
0.33991416309012873,"[0.0, -13.4, 80.6]",0.3160112359550562,"[-13.4, 0.0, 80.6]",7,4
0.13424489795918365,"[-3.2, 3.5, 39.6]",0.5280898876404494,"[-13.4, 0.0, 80.6]",0,4
0.4176470588235294,"[10.6, 2.7, 39.2]",0.23751020408163265,"[-3.2, 3.5, 39.6]",3,0
0.14322448979591837,"[-3.2, 3.5, 39.6]",0.5187410586552218,"[0.0, -13.4, 80.6]",0,7
0.3862359550561798,"[-13.4, 0.0, 80.6]",0.27839771101573674,"[0.0, -13.4, 80.6]",4,7
0.36235955056179775,"[-13.4, 0.0, 80.6]",0.2984263233190272,"[0.0, -13.4, 80.6]",4,7
0.41442622950819674,"[-2.3, -2.2, 41.3]",0.2383265306122449,"[-3.2, 3.5, 39.6]",1,0
0.4056734693877551,"[-3.2, 3.5, 39.6]",0.2600840336134454,"[10.6, 2.7, 39.2]",0,3
0.11512605042016806,"[10.6, 2.7, 39.2]",0.5453623188405797,"[13.4, 0.0, 80.6]",3,6
0.37359550561797755,"[-13.4, 0.0, 80.6]",0.2798283261802575,"[0.0, -13.4, 80.6]",4,7
0.3676943699731904,"[0.0, 13.4, 80.6]",0.2893258426966292,"[-13.4, 0.0, 80.6]",5,4
0.4024081632653061,"[-3.2, 3.5, 39.6]",0.25672268907563023,"[10.6, 2.7, 39.2]",0,3
0.09967213114754098,"[-2.3, -2.2, 41.3]",0.5584057971014493,"[13.4, 0.0, 80.6]",1,6
0.1810924369747899,"[10.6, 2.7, 39.2]",0.4743478260869565,"[13.4, 0.0, 80.6]",3,6
0.4236231884057971,"[13.4, 0.0, 80.6]",0.23766756032171582,"[0.0, 13.4, 80.6]",6,5
0.2240408163265306,"[-3.2, 3.5, 39.6]",0.44681159420289857,"[13.4, 0.0, 80.6]",0,6
0.3803673469387755,"[-3.2, 3.5, 39.6]",0.27262295081967214,"[-2.3, -2.2, 41.3]",0,1
0.09434426229508196,"[-2.3, -2.2, 41.3]",0.5627536231884058,"[13.4, 0.0, 80.6]",1,6
0.06118367346938776,"[-3.2, 3.5, 39.6]",0.5969101123595506,"[-13.4, 0.0, 80.6]",0,4
0.3455056179775281,"[-13.4, 0.0, 80.6]",0.3120289855072464,"[13.4, 0.0, 80.6]",4,6
0.22647058823529412,"[10.6, 2.7, 39.2]",0.42837078651685395,"[-13.4, 0.0, 80.6]",3,4
0.40924932975871314,"[0.0, 13.4, 80.6]",0.2540579710144928,"[13.4, 0.0, 80.6]",5,6
0.09411764705882353,"[10.6, 2.7, 39.2]",0.5627536231884058,"[13.4, 0.0, 80.6]",3,6
0.11974789915966387,"[10.6, 2.7, 39.2]",0.5323188405797101,"[13.4, 0.0, 80.6]",3,6
0.17857142857142858,"[10.6, 2.7, 39.2]",0.4873913043478261,"[13.4, 0.0, 80.6]",3,6
0.38571428571428573,"[10.6, 2.7, 39.2]",0.2799591836734694,"[-3.2, 3.5, 39.6]",3,0
0.15995918367346937,"[-3.2, 3.5, 39.6]",0.5091304347826087,"[13.4, 0.0, 80.6]",0,6
0.15924369747899159,"[10.6, 2.7, 39.2]",0.49442060085836914,"[0.0, -13.4, 80.6]",3,7
0.1328688524590164,"[-2.3, -2.2, 41.3]",0.5366666666666667,"[13.4, 0.0, 80.6]",1,6
0.10377049180327869,"[-2.3, -2.2, 41.3]",0.561304347826087,"[13.4, 0.0, 80.6]",1,6
0.405722460658083,"[0.0, -13.4, 80.6]",0.2654494382022472,"[-13.4, 0.0, 80.6]",7,4
0.4243089430894309,"[3.4, -5.0, 40.8]",0.2316393442622951,"[-2.3, -2.2, 41.3]",2,1
0.06638655462184874,"[10.6, 2.7, 39.2]",0.5888739946380698,"[0.0, 13.4, 80.6]",3,5
0.3869672131147541,"[-2.3, -2.2, 41.3]",0.26974789915966385,"[10.6, 2.7, 39.2]",1,3
0.35383673469387755,"[-3.2, 3.5, 39.6]",0.30073170731707316,"[3.4, -5.0, 40.8]",0,2
0.40924932975871314,"[0.0, 13.4, 80.6]",0.25407725321888414,"[0.0, -13.4, 80.6]",5,7
0.41292682926829266,"[3.4, -5.0, 40.8]",0.24475409836065576,"[-2.3, -2.2, 41.3]",2,1
0.1131967213114754,"[-2.3, -2.2, 41.3]",0.5406166219839142,"[0.0, 13.4, 80.6]",1,5
0.4,"[0.0, -13.4, 80.6]",0.2612359550561798,"[-13.4, 0.0, 80.6]",7,4
0.13342857142857142,"[-3.2, 3.5, 39.6]",0.5192753623188406,"[13.4, 0.0, 80.6]",0,6
