scatter energy,scatter locations,absorption energies,absorption locations
0.382471,"[0.0, 13.4, 80.6]",0.25428,"[13.4, 0.0, 80.6]"
0.35003,"[-13.4, 0.0, 80.6]",0.36785,"[0.0, 13.4, 80.6]"
0.43127,"[-13.4, 0.0, 80.6]",0.0977786,"[13.4, 0.0, 80.6]"
0.328363,"[-13.4, 0.0, 80.6]",0.270549,"[0.0, 13.4, 80.6]"
0.406507,"[0.0, -13.4, 80.6]",0.208464,"[13.4, 0.0, 80.6]"
0.368603,"[0.0, -13.4, 80.6]",0.255342,"[13.4, 0.0, 80.6]"
0.425222,"[-13.4, 0.0, 80.6]",0.254157,"[0.0, -13.4, 80.6]"
0.334843,"[0.0, -13.4, 80.6]",0.316515,"[13.4, 0.0, 80.6]"
0.391399,"[13.4, 0.0, 80.6]",0.0108995,"[0.0, 13.4, 80.6]"
0.395625,"[10.6, 2.7, 39.2]",0.195813,"[3.4, -5.0, 40.8]"
0.464885,"[0.0, 13.4, 80.6]",0.224394,"[10.6, 2.7, 39.2]"
0.406634,"[-13.4, 0.0, 80.6]",0.232615,"[0.0, -13.4, 80.6]"
0.202818,"[3.4, -5.0, 40.8]",0.203198,"[0.0, 13.4, 80.6]"
0.344327,"[-13.4, 0.0, 80.6]",0.3604,"[0.0, -13.4, 80.6]"
0.394511,"[-13.4, 0.0, 80.6]",0.312657,"[13.4, 0.0, 80.6]"
0.237964,"[10.6, 2.7, 39.2]",0.438671,"[-13.4, 0.0, 80.6]"
0.403939,"[13.4, 0.0, 80.6]",0.166133,"[0.0, 13.4, 80.6]"
0.182935,"[3.4, -5.0, 40.8]",0.278505,"[0.0, 13.4, 80.6]"
0.111372,"[3.4, -5.0, 40.8]",0.533656,"[0.0, 13.4, 80.6]"
0.184255,"[10.6, 2.7, 39.2]",0.464677,"[-13.4, 0.0, 80.6]"
0.390694,"[0.0, -13.4, 80.6]",0.132879,"[13.4, 0.0, 80.6]"
0.346951,"[-13.4, 0.0, 80.6]",0.34822,"[0.0, 13.4, 80.6]"
0.352997,"[0.0, 13.4, 80.6]",0.288617,"[13.4, 0.0, 80.6]"
0.345754,"[0.0, 13.4, 80.6]",0.270968,"[13.4, 0.0, 80.6]"
0.404406,"[-13.4, 0.0, 80.6]",0.237402,"[0.0, -13.4, 80.6]"
0.154374,"[10.6, 2.7, 39.2]",0.231299,"[-13.4, 0.0, 80.6]"
0.411857,"[0.0, -13.4, 80.6]",0.0957287,"[-13.4, 0.0, 80.6]"
0.411492,"[-13.4, 0.0, 80.6]",0.288382,"[0.0, -13.4, 80.6]"
0.438217,"[0.0, -13.4, 80.6]",0.0662656,"[13.4, 0.0, 80.6]"
0.391927,"[0.0, -13.4, 80.6]",0.249579,"[13.4, 0.0, 80.6]"
0.116243,"[10.6, 2.7, 39.2]",0.193797,"[13.4, 0.0, 80.6]"
0.407783,"[0.0, 13.4, 80.6]",0.287754,"[-13.4, 0.0, 80.6]"
0.328312,"[0.0, 13.4, 80.6]",0.301716,"[-13.4, 0.0, 80.6]"
0.10161,"[10.6, 2.7, 39.2]",0.58369,"[0.0, 13.4, 80.6]"
0.436924,"[0.0, 13.4, 80.6]",0.147423,"[-13.4, 0.0, 80.6]"
0.353442,"[0.0, -13.4, 80.6]",0.292856,"[-13.4, 0.0, 80.6]"
0.0757741,"[3.4, -5.0, 40.8]",0.259091,"[0.0, 13.4, 80.6]"
0.0757741,"[3.4, -5.0, 40.8]",0.295566,"[0.0, -13.4, 80.6]"
0.424546,"[0.0, -13.4, 80.6]",0.226469,"[-13.4, 0.0, 80.6]"
0.41836,"[-13.4, 0.0, 80.6]",0.202872,"[0.0, -13.4, 80.6]"
0.338361,"[0.0, 13.4, 80.6]",0.218089,"[13.4, 0.0, 80.6]"
0.344149,"[-13.4, 0.0, 80.6]",0.282975,"[0.0, -13.4, 80.6]"
0.372407,"[0.0, 13.4, 80.6]",0.309923,"[-13.4, 0.0, 80.6]"
0.402818,"[3.4, -5.0, 40.8]",0.244835,"[-3.2, 3.5, 39.6]"
0.374911,"[0.0, -13.4, 80.6]",0.274546,"[-13.4, 0.0, 80.6]"
0.215654,"[10.6, 2.7, 39.2]",0.0336494,"[0.0, -13.4, 80.6]"
0.348044,"[-13.4, 0.0, 80.6]",0.333715,"[13.4, 0.0, 80.6]"
0.201823,"[10.6, 2.7, 39.2]",0.477784,"[-13.4, 0.0, 80.6]"
0.366402,"[0.0, -13.4, 80.6]",0.279374,"[13.4, 0.0, 80.6]"
0.35007,"[0.0, -13.4, 80.6]",0.249284,"[0.0, 13.4, 80.6]"
0.356574,"[13.4, 0.0, 80.6]",0.293601,"[0.0, 13.4, 80.6]"
0.383458,"[-13.4, 0.0, 80.6]",0.292813,"[0.0, -13.4, 80.6]"
0.3574,"[0.0, -13.4, 80.6]",0.270441,"[0.0, 13.4, 80.6]"
