scatter energy,scatter locations,absorption energies,absorption locations
-0.018852459016393444,"[-9.9, 15.8, 6.4]",0.3809906291834003,"[2.8, 14.6, 78.9]"
0.05901639344262295,"[-9.9, 15.8, 6.4]",0.2361111111111111,"[-11.2, -0.3, 79.2]"
0.12530864197530864,"[-12.1, -11.7, 4.0]",0.425,"[-11.2, -0.3, 79.2]"
0.14670781893004115,"[-12.1, -11.7, 4.0]",0.48055555555555557,"[-11.2, -0.3, 79.2]"
0.03271604938271605,"[-12.1, -11.7, 4.0]",0.34901408450704224,"[2.3, -14.6, 78.2]"
0.1520576131687243,"[-12.1, -11.7, 4.0]",0.25972222222222224,"[-11.2, -0.3, 79.2]"
0.14549180327868852,"[-9.9, 15.8, 6.4]",0.49583333333333335,"[-11.2, -0.3, 79.2]"
0.18909465020576133,"[-12.1, -11.7, 4.0]",0.6504225352112676,"[2.3, -14.6, 78.2]"
0.23963562753036435,"[18.0, -12.0, 6.6]",0.49577874818049494,"[16.3, -0.4, 78.8]"
0.032995780590717304,"[17.6, 13.6, 8.2]",0.2410480349344978,"[16.3, -0.4, 78.8]"
0.1639917695473251,"[-12.1, -11.7, 4.0]",0.34439592430858806,"[16.3, -0.4, 78.8]"
0.09156378600823045,"[-12.1, -11.7, 4.0]",0.4639892904953146,"[2.8, 14.6, 78.9]"
0.05534979423868313,"[-12.1, -11.7, 4.0]",0.5180281690140845,"[2.3, -14.6, 78.2]"
0.2602880658436214,"[-12.1, -11.7, 4.0]",0.2652777777777778,"[-11.2, -0.3, 79.2]"
0.15617283950617283,"[-12.1, -11.7, 4.0]",0.22084507042253523,"[2.3, -14.6, 78.2]"
0.06392712550607288,"[18.0, -12.0, 6.6]",0.3240174672489083,"[16.3, -0.4, 78.8]"
0.20441295546558705,"[18.0, -12.0, 6.6]",0.41661971830985917,"[2.3, -14.6, 78.2]"
0.20345991561181434,"[17.6, 13.6, 8.2]",0.24478873239436622,"[2.3, -14.6, 78.2]"
0.18811475409836065,"[-9.9, 15.8, 6.4]",0.45605633802816903,"[2.3, -14.6, 78.2]"
0.07645569620253163,"[17.6, 13.6, 8.2]",0.2846050870147256,"[2.8, 14.6, 78.9]"
0.16109311740890686,"[18.0, -12.0, 6.6]",0.5757746478873239,"[2.3, -14.6, 78.2]"
0.16271255060728745,"[18.0, -12.0, 6.6]",0.4666666666666667,"[16.3, -0.4, 78.8]"
0.39248945147679326,"[17.6, 13.6, 8.2]",0.2919941775836972,"[16.3, -0.4, 78.8]"
0.11049382716049383,"[-12.1, -11.7, 4.0]",0.523661971830986,"[2.3, -14.6, 78.2]"
0.15246913580246912,"[-12.1, -11.7, 4.0]",0.2638888888888889,"[-11.2, -0.3, 79.2]"
0.2700819672131147,"[-9.9, 15.8, 6.4]",0.37161981258366805,"[2.8, 14.6, 78.9]"
0.1845748987854251,"[18.0, -12.0, 6.6]",0.26591549295774647,"[2.3, -14.6, 78.2]"
0.19080168776371306,"[17.6, 13.6, 8.2]",0.42115127175368144,"[2.8, 14.6, 78.9]"
0.12868852459016394,"[-9.9, 15.8, 6.4]",0.32222222222222224,"[-11.2, -0.3, 79.2]"
0.027894736842105264,"[18.0, -12.0, 6.6]",0.3287817938420348,"[2.8, 14.6, 78.9]"
0.1659071729957806,"[17.6, 13.6, 8.2]",0.44919941775836975,"[16.3, -0.4, 78.8]"
0.1751028806584362,"[-12.1, -11.7, 4.0]",0.4622998544395925,"[16.3, -0.4, 78.8]"
0.1680168776371308,"[17.6, 13.6, 8.2]",0.20833333333333334,"[-11.2, -0.3, 79.2]"
0.1864754098360656,"[-9.9, 15.8, 6.4]",0.5603748326639894,"[2.8, 14.6, 78.9]"
0.1918032786885246,"[-9.9, 15.8, 6.4]",0.4361111111111111,"[-11.2, -0.3, 79.2]"
0.019135802469135803,"[-12.1, -11.7, 4.0]",0.2833333333333333,"[-11.2, -0.3, 79.2]"
0.0748582995951417,"[18.0, -12.0, 6.6]",0.46450704225352113,"[2.3, -14.6, 78.2]"
0.6347773279352227,"[18.0, -12.0, 6.6]",0.6631732168850073,"[16.3, -0.4, 78.8]"
0.15122950819672132,"[-9.9, 15.8, 6.4]",0.5443105756358769,"[2.8, 14.6, 78.9]"
0.15286885245901638,"[-9.9, 15.8, 6.4]",0.4630985915492958,"[2.3, -14.6, 78.2]"
0.13975409836065575,"[-9.9, 15.8, 6.4]",0.4921017402945114,"[2.8, 14.6, 78.9]"
0.15041152263374485,"[-12.1, -11.7, 4.0]",0.37014084507042255,"[2.3, -14.6, 78.2]"
0.11331983805668015,"[18.0, -12.0, 6.6]",0.46131191432396257,"[2.8, 14.6, 78.9]"
0.030323886639676115,"[18.0, -12.0, 6.6]",0.21231593038821953,"[2.8, 14.6, 78.9]"
0.22303643724696356,"[18.0, -12.0, 6.6]",0.4157965194109773,"[2.8, 14.6, 78.9]"
0.1487704918032787,"[-9.9, 15.8, 6.4]",0.2905385735080058,"[16.3, -0.4, 78.8]"
0.267165991902834,"[18.0, -12.0, 6.6]",0.41713520749665334,"[2.8, 14.6, 78.9]"
0.07809716599190283,"[18.0, -12.0, 6.6]",0.37295774647887325,"[2.3, -14.6, 78.2]"
0.13360655737704918,"[-9.9, 15.8, 6.4]",0.48674698795180726,"[2.8, 14.6, 78.9]"
0.028776371308016878,"[17.6, 13.6, 8.2]",0.2042838018741633,"[2.8, 14.6, 78.9]"
0.21864978902953588,"[17.6, 13.6, 8.2]",0.28326055312954873,"[16.3, -0.4, 78.8]"
0.1377049180327869,"[-9.9, 15.8, 6.4]",0.5069444444444444,"[-11.2, -0.3, 79.2]"
0.17647773279352225,"[18.0, -12.0, 6.6]",0.41847389558232934,"[2.8, 14.6, 78.9]"
0.14670781893004115,"[-12.1, -11.7, 4.0]",0.23915492957746481,"[2.3, -14.6, 78.2]"
0.05450819672131148,"[-9.9, 15.8, 6.4]",0.4011267605633803,"[2.3, -14.6, 78.2]"
0.11625514403292181,"[-12.1, -11.7, 4.0]",0.27361111111111114,"[-11.2, -0.3, 79.2]"
0.17940928270042195,"[17.6, 13.6, 8.2]",0.4419213973799127,"[16.3, -0.4, 78.8]"
0.026954732510288067,"[-12.1, -11.7, 4.0]",0.24861111111111112,"[-11.2, -0.3, 79.2]"
0.17991803278688526,"[-9.9, 15.8, 6.4]",0.45793304221251824,"[16.3, -0.4, 78.8]"
0.22581967213114754,"[-9.9, 15.8, 6.4]",0.4229985443959243,"[16.3, -0.4, 78.8]"
0.1266393442622951,"[-9.9, 15.8, 6.4]",0.6406961178045516,"[2.8, 14.6, 78.9]"
0.18524590163934426,"[-9.9, 15.8, 6.4]",0.46450704225352113,"[2.3, -14.6, 78.2]"
0.21502057613168724,"[-12.1, -11.7, 4.0]",0.5643908969210174,"[2.8, 14.6, 78.9]"
0.16069958847736626,"[-12.1, -11.7, 4.0]",0.4513888888888889,"[-11.2, -0.3, 79.2]"
0.38573839662447257,"[17.6, 13.6, 8.2]",0.5363380281690141,"[2.3, -14.6, 78.2]"
0.21352459016393444,"[-9.9, 15.8, 6.4]",0.4171761280931587,"[16.3, -0.4, 78.8]"
0.2331578947368421,"[18.0, -12.0, 6.6]",0.3997322623828648,"[2.8, 14.6, 78.9]"
0.21872427983539094,"[-12.1, -11.7, 4.0]",0.2805890227576974,"[2.8, 14.6, 78.9]"
0.2469198312236287,"[17.6, 13.6, 8.2]",0.30972222222222223,"[-11.2, -0.3, 79.2]"
0.49122362869198316,"[17.6, 13.6, 8.2]",0.4476056338028169,"[2.3, -14.6, 78.2]"
0.06481481481481481,"[-12.1, -11.7, 4.0]",0.4171761280931587,"[16.3, -0.4, 78.8]"
0.10614754098360656,"[-9.9, 15.8, 6.4]",0.5309236947791165,"[2.8, 14.6, 78.9]"
0.1360082304526749,"[-12.1, -11.7, 4.0]",0.5055555555555555,"[-11.2, -0.3, 79.2]"
0.16421940928270043,"[17.6, 13.6, 8.2]",0.30655021834061136,"[16.3, -0.4, 78.8]"
0.09180327868852459,"[-9.9, 15.8, 6.4]",0.20972222222222223,"[-11.2, -0.3, 79.2]"
0.17222222222222222,"[-12.1, -11.7, 4.0]",0.4736111111111111,"[-11.2, -0.3, 79.2]"
0.03930041152263374,"[-12.1, -11.7, 4.0]",0.5423580786026201,"[16.3, -0.4, 78.8]"
0.1685185185185185,"[-12.1, -11.7, 4.0]",0.3983098591549296,"[2.3, -14.6, 78.2]"
